data;turno;hora;seq;operacao;produto;bico;quantidade;deposito;pessoa;documento;tipo_doc;data_doc;tributacao;preco_unit;valor;vendedor;abastecimento;hora_abastec;usuario;estacao;empresa;mlid;grid;conta;nr_item;produto_kit;produto_kit_id;encerrante;valor_desconto;preco_unit_orig;orcamento_produto;ponto;cupom_produto;medicao_sugerida;comanda;comanda_produto;departamento;mesa_produto;tipo_desconto;obs;preco_unit_venda;motivo_inventario;abastecimento_manual;preco_unit_base;preco_unit_prazo;preco_unit_bico;dia_fiscal;cst_pis;cst_cofins;natureza_receita;preco_unit_fiscal;numero_pedido;numero_item_pedido;relevante
20/10/2012;2;20/10/2012 22:06;807;V;139239;NULL;1;534526;NULL;;;NULL;60;0.8;0.8;NULL;NULL;NULL;CRISTIANE;MICRO.STAELIZA;56730;42952015632;42952015637;1.1.2.05;NULL;NULL;NULL;NULL;0;0.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8;NULL;NULL;0.8;0;0;20/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
20/10/2012;3;20/10/2012 22:28;169;V;10333;15;5.587;532093;NULL;628189;ECF;20/10/2012;60;1.79;10;1660381;236563;20/10/2012 22:11;ANTONIOCARLOS;USUARIO-PC.WORKGROUP;56730;42952015904;42952015941;1.1.2.03;NULL;NULL;NULL;583670.86;0;1.79;NULL;NULL;42952015907;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;20/10/2012;4;4;61;NULL;NULL;NULL;NULL
20/10/2012;2;20/10/2012 22:42;856;V;17179869356;NULL;1;534526;NULL;;;NULL;60;4.8;4.8;NULL;NULL;NULL;CRISTIANE;MICRO.STAELIZA;56730;42952015970;42952015982;1.1.2.05;NULL;NULL;NULL;NULL;0;4.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.8;NULL;NULL;4.8;0;0;20/10/2012;4;4;51;NULL;NULL;NULL;NULL
20/10/2012;2;20/10/2012 23:22;916;V;161025;NULL;1;534526;NULL;;;NULL;60;4;4;NULL;NULL;NULL;CRISTIANE;MICRO.STAELIZA;56730;42952016321;42952016331;1.1.2.05;NULL;NULL;NULL;NULL;0;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;NULL;NULL;4;0;0;20/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
20/10/2012;2;20/10/2012 23:34;956;V;532149;28;10.942;532153;NULL;665170;NULL;20/10/2012;60;1.89;20.68;NULL;236639;20/01/2012 23:32;HELIO;CAIXA_GNV.STAELISA;56730;42952016458;42952016464;1.1.2.04;NULL;NULL;NULL;461805.69;0;1.89;NULL;NULL;42952016460;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.89;NULL;NULL;0;0;0;20/10/2012;1;1;NULL;NULL;NULL;NULL;NULL
21/10/2012;1;21/10/2012 06:58;63;V;10333;9;27.933;532080;NULL;628223;ECF;21/10/2012;60;1.79;50;218950;236673;21/10/2012 05:36;VAGNER;USUARIO-PC.WORKGROUP;56730;42952016887;42952016979;1.1.2.13;NULL;NULL;NULL;569981.14;0;1.79;NULL;NULL;42952016921;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;21/10/2012;4;4;61;NULL;NULL;NULL;NULL
21/10/2012;1;21/10/2012 07:14;90;V;10335;19;20.409;532056;NULL;628226;ECF;21/10/2012;60;2.45;50;218950;236730;21/10/2012 06:44;VAGNER;USUARIO-PC.WORKGROUP;56730;42952017071;42952017098;1.1.2.13;NULL;NULL;NULL;762153.23;0;2.45;NULL;NULL;42952017079;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.45;NULL;NULL;0;0;0;21/10/2012;4;4;52;NULL;NULL;NULL;NULL
21/10/2012;1;21/10/2012 09:58;322;V;10333;21;5.028;532093;NULL;628269;ECF;21/10/2012;60;1.79;9;NULL;236850;21/10/2012 09:53;VAGNER;USUARIO-PC.WORKGROUP;56730;42952017957;42952017982;1.1.2.13;NULL;NULL;NULL;460313.08;0;1.79;NULL;NULL;42952017971;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;21/10/2012;4;4;61;NULL;NULL;NULL;NULL
21/10/2012;1;21/10/2012 11:18;468;V;10333;24;20.973;532093;NULL;628278;ECF;21/10/2012;60;1.79;37.54;NULL;236883;21/10/2012 10:26;VAGNER;USUARIO-PC.WORKGROUP;56730;42952018349;42952018410;1.1.2.13;NULL;NULL;NULL;537299.48;0;1.79;NULL;NULL;42952018369;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.79;NULL;NULL;0;0;0;21/10/2012;4;4;61;NULL;NULL;NULL;NULL
21/10/2012;1;21/10/2012 12:42;682;V;10158;7;6.579;532054;NULL;628300;ECF;21/10/2012;60;2.92;19.21;NULL;236926;21/10/2012 11:08;VAGNER;USUARIO-PC.WORKGROUP;56730;42952019061;42952019080;1.1.2.13;NULL;NULL;NULL;209667.15;0;2.92;NULL;NULL;42952019069;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.92;NULL;NULL;0;0;0;21/10/2012;4;4;51;NULL;NULL;NULL;NULL
